app_label,type,model,visit,name,verbose_name,datatype,max_length,null,blank,editable,encrypt,choices,default,vaidators,skip_logic,help_text,comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,enrollment,Enrollment,,record_number,Medical Record Number,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,enrollment,Enrollment,,dob,Date of Birth,date,,,,,,,,DOB _ 10 years ago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,enrollment,Enrollment,,gender,Sex,text_choice,,,,,,"Male
Female",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,enrollment,Enrollment,,initial_visit_datetime,Date of Initial Clinic Visit,date,,,,,,,,"January 1, 2002 _ Date of Initial Visit _ June 1, 2016",,Day/Month/Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,enrollment,Enrollment,,caregiver_relation,Caregiver/Next of Kin Relationship,date,,,,,,"Mother
Father
Grandmother
Grandfather
Aunt
Uncle
Legal Guardian
Other (describe)
Unable to Ascertain",,,display field only if 10 years ago _ DOB _ 13 years ago? (adolescents only--ASK AT SLH),"Please describe the caregiver/next of kin's relationship to patient if ""Other""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,enrollment,Enrollment,,caregiver_relation_other,"Caregiver/Next of Kin Relationship: ""Other""",text,,,,,,,,,display field only if Caregiver/Next of Kin Relationship= OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,enrollment,Enrollment,,weight,Weight at Initial Clinic Visit,number,,,,,,,,weight must be _ 20 kg but _ 136 kg,,Please check the box if weight was unavailable at initial visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,enrollment,Enrollment,,weight,Height at Initial Clinic Visit,number,,,,,,,,height must _ 100 cm but _ 244 cm,,Please check the box if height was unavailable at initial visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,enrollment,Enrollment,,weight,HIV Diagnosis Date ,date,,,,,,,# TODO: Date of Initial Clinic Visit (?),Date of Diagnosis > DOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,enrollment,Enrollment,,weight,ART Initiation Date,date,,,,,,,,Date of ART initiation must be _ Date of Diagnosis and DOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,AssessmentHistory,,cd4_count,CD4+ Cell Count,number,,,,,,,,Alert if value entered >1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,AssessmentHistory,,cd4_perc,CD4+ %,number,,,,,,,,Alert if value entered >65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,AssessmentHistory,,vl_quant,Viral Load Quantifier,text_choice,,,,,,"=  (dectable)
'<  (undectectable)
> (detectable above the upper limit of the test)",,,,"Please select ""="" if the patient's viral load was dectable on the assay, or select ""< ""if result was undetectable within the limits of the assay detection or "">"" if the viral load exceeded the upper limit of the assay.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,AssessmentHistory,,vl_count,Viral Load,number,,,,,,,,,"display field only if Date of Initial Visit < May 1st, 2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,AssessmentHistory,,alt,ALT(SGPT),number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,AssessmentHistory,,hgb,Hgb,number,,,,,,,,Alert if value entered >20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,AssessmentHistory,,ldl,LDL,number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,AssessmentHistory,,syphillis,Syphillis,number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,AssessmentHistory,,test_other,"Other (add option to ""click to add more fields)",number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
banamotswe,crf,Assessment,,who_stage_baseline,WHO Stage at Baseline,text_choice,,,,,,"I
II
III
IV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
